Date,Average_daily_temp
1.1.2021,1.6
2.1.2021,1.1
3.1.2021,0.1
4.1.2021,-0.8
5.1.2021,-1.5
6.1.2021,-2.3
7.1.2021,-3.1
8.1.2021,-4.6
9.1.2021,-10.3
10.1.2021,-12.7
11.1.2021,-12.0
12.1.2021,-11.6
13.1.2021,-13.3
14.1.2021,-13.7
15.1.2021,-15.7
16.1.2021,-15.0
17.1.2021,-9.4
18.1.2021,-6.1
19.1.2021,-5.1
20.1.2021,-5.1
21.1.2021,-9.1
22.1.2021,-4.6
23.1.2021,1.7
24.1.2021,2.0
25.1.2021,3.4
26.1.2021,2.8
27.1.2021,1.7
28.1.2021,1.5
29.1.2021,-0.1
30.1.2021,-0.4
31.1.2021,-3.0
1.2.2021,-3.1
2.2.2021,-3.5
3.2.2021,-4.4
4.2.2021,-11.8
5.2.2021,-15.5
6.2.2021,-12.6
7.2.2021,-11.0
8.2.2021,-11.8
9.2.2021,-14.3
10.2.2021,-15.9
11.2.2021,-12.5
12.2.2021,-14.8
13.2.2021,-13.1
14.2.2021,-8.4
15.2.2021,-14.2
16.2.2021,-7.3
17.2.2021,-13.3
18.2.2021,-18.3
19.2.2021,-11.5
20.2.2021,-7.9
21.2.2021,-6.5
22.2.2021,-11.4
23.2.2021,-15.0
24.2.2021,-7.0
25.2.2021,2.4
26.2.2021,2.4
27.2.2021,1.9
28.2.2021,1.0
1.3.2021,1.6
2.3.2021,2.6
3.3.2021,0.8
4.3.2021,-1.3
5.3.2021,-4.7
6.3.2021,-4.6
7.3.2021,-3.8
8.3.2021,-6.7
9.3.2021,-13.0
10.3.2021,-14.1
11.3.2021,-9.5
12.3.2021,-4.5
13.3.2021,2.4
14.3.2021,2.8
15.3.2021,1.9
16.3.2021,0.7
17.3.2021,-0.1
18.3.2021,-1.3
19.3.2021,-5.7
20.3.2021,-6.1
21.3.2021,-0.3
22.3.2021,0.2
23.3.2021,-1.5
24.3.2021,5.2
25.3.2021,4.4
26.3.2021,2.3
27.3.2021,5.0
28.3.2021,7.2
29.3.2021,6.9
30.3.2021,6.3
31.3.2021,2.4
1.4.2021,2.6
2.4.2021,2.7
3.4.2021,1.8
4.4.2021,2.9
5.4.2021,5.4
6.4.2021,1.7
7.4.2021,3.4
8.4.2021,1.1
9.4.2021,3.4
10.4.2021,5.1
11.4.2021,6.0
12.4.2021,13.0
13.4.2021,10.2
14.4.2021,4.7
15.4.2021,5.8
16.4.2021,7.8
17.4.2021,10.0
18.4.2021,10.3
19.4.2021,8.8
20.4.2021,8.8
21.4.2021,5.6
22.4.2021,7.1
23.4.2021,7.4
24.4.2021,4.7
25.4.2021,3.7
26.4.2021,4.4
27.4.2021,4.3
28.4.2021,3.2
29.4.2021,5.0
30.4.2021,6.3
1.5.2021,5.8
2.5.2021,6.5
3.5.2021,4.4
4.5.2021,2.3
5.5.2021,4.1
6.5.2021,5.8
7.5.2021,6.2
8.5.2021,4.8
9.5.2021,7.8
10.5.2021,12.5
11.5.2021,19.7
12.5.2021,21.5
13.5.2021,20.3
14.5.2021,17.2
15.5.2021,18.7
16.5.2021,15.4
17.5.2021,18.7
18.5.2021,18.8
19.5.2021,21.1
20.5.2021,14.9
21.5.2021,11.7
22.5.2021,12.4
23.5.2021,11.8
24.5.2021,12.3
25.5.2021,11.8
26.5.2021,10.0
27.5.2021,12.8
28.5.2021,12.1
29.5.2021,11.2
30.5.2021,10.8
31.5.2021,11.7
1.6.2021,14.9
2.6.2021,15.6
3.6.2021,18.3
4.6.2021,20.3
5.6.2021,20.3
6.6.2021,20.1
7.6.2021,19.9
8.6.2021,18.3
9.6.2021,19.6
10.6.2021,20.7
11.6.2021,20.8
12.6.2021,19.2
13.6.2021,18.4
14.6.2021,17.3
15.6.2021,17.5
16.6.2021,17.2
17.6.2021,19.3
18.6.2021,23.0
19.6.2021,25.4
20.6.2021,27.1
21.6.2021,28.5
22.6.2021,29.5
23.6.2021,30.3
24.6.2021,23.7
25.6.2021,24.1
26.6.2021,22.7
27.6.2021,23.2
28.6.2021,21.7
29.6.2021,21.8
30.6.2021,22.8
1.7.2021,22.0
2.7.2021,20.8
3.7.2021,21.5
4.7.2021,23.6
5.7.2021,24.4
6.7.2021,24.7
7.7.2021,27.0
8.7.2021,27.7
9.7.2021,25.5
10.7.2021,27.6
11.7.2021,28.6
12.7.2021,25.4
13.7.2021,25.9
14.7.2021,27.9
15.7.2021,28.0
16.7.2021,27.3
17.7.2021,24.3
18.7.2021,24.6
19.7.2021,20.7
20.7.2021,19.3
21.7.2021,17.4
22.7.2021,17.0
23.7.2021,17.8
24.7.2021,17.2
25.7.2021,19.1
26.7.2021,22.5
27.7.2021,24.7
28.7.2021,22.7
29.7.2021,21.1
30.7.2021,21.1
31.7.2021,18.4
1.8.2021,18.9
2.8.2021,17.7
3.8.2021,16.7
4.8.2021,16.0
5.8.2021,17.5
6.8.2021,16.6
7.8.2021,16.1
8.8.2021,20.1
9.8.2021,19.6
10.8.2021,19.1
11.8.2021,19.5
12.8.2021,17.8
13.8.2021,19.5
14.8.2021,19.3
15.8.2021,18.3
16.8.2021,17.7
17.8.2021,20.6
18.8.2021,19.7
19.8.2021,16.9
20.8.2021,16.6
21.8.2021,15.6
22.8.2021,15.2
23.8.2021,14.0
24.8.2021,11.0
25.8.2021,12.0
26.8.2021,13.5
27.8.2021,14.9
28.8.2021,17.4
29.8.2021,15.5
30.8.2021,16.0
31.8.2021,13.7
1.9.2021,12.7
2.9.2021,11.0
3.9.2021,9.3
4.9.2021,8.6
5.9.2021,9.0
6.9.2021,11.4
7.9.2021,13.3
8.9.2021,14.7
9.9.2021,14.9
10.9.2021,13.5
11.9.2021,14.2
12.9.2021,15.1
13.9.2021,14.7
14.9.2021,9.3
15.9.2021,7.6
16.9.2021,7.8
17.9.2021,7.3
18.9.2021,8.9
19.9.2021,7.0
20.9.2021,6.5
21.9.2021,7.5
22.9.2021,8.0
23.9.2021,7.9
24.9.2021,8.8
25.9.2021,8.9
26.9.2021,9.5
27.9.2021,10.2
28.9.2021,9.3
29.9.2021,9.7
30.9.2021,9.2
1.10.2021,9.3
2.10.2021,11.4
3.10.2021,10.4
4.10.2021,9.1
5.10.2021,10.0
6.10.2021,11.3
7.10.2021,11.0
8.10.2021,11.0
9.10.2021,10.3
10.10.2021,11.1
11.10.2021,10.1
12.10.2021,7.6
13.10.2021,8.0
14.10.2021,5.9
15.10.2021,6.7
16.10.2021,7.2
17.10.2021,6.6
18.10.2021,4.7
19.10.2021,2.4
20.10.2021,2.0
21.10.2021,11.8
22.10.2021,9.2
23.10.2021,4.7
24.10.2021,1.5
25.10.2021,5.6
26.10.2021,6.7
27.10.2021,7.5
28.10.2021,7.4
29.10.2021,10.8
30.10.2021,8.8
31.10.2021,7.6
1.11.2021,8.7
2.11.2021,4.9
3.11.2021,5.8
4.11.2021,7.7
5.11.2021,7.8
6.11.2021,5.6
7.11.2021,4.0
8.11.2021,2.2
9.11.2021,-1.3
10.11.2021,2.9
11.11.2021,6.6
12.11.2021,5.1
13.11.2021,3.4
14.11.2021,1.8
15.11.2021,0.1
16.11.2021,1.7
17.11.2021,3.1
18.11.2021,2.6
19.11.2021,3.5
20.11.2021,2.5
21.11.2021,1.3
22.11.2021,-2.3
23.11.2021,-2.1
24.11.2021,0.9
25.11.2021,2.4
26.11.2021,2.3
27.11.2021,-2.9
28.11.2021,-2.4
29.11.2021,-5.3
30.11.2021,-4.6
1.12.2021,-6.1
2.12.2021,-8.0
3.12.2021,-7.5
4.12.2021,-6.1
5.12.2021,-13.5
6.12.2021,-18.0
7.12.2021,-14.2
8.12.2021,-12.3
9.12.2021,-10.5
10.12.2021,-14.0
11.12.2021,-5.7
12.12.2021,-3.9
13.12.2021,-1.9
14.12.2021,0.1
15.12.2021,1.2
16.12.2021,1.9
17.12.2021,1.0
18.12.2021,-0.2
19.12.2021,-1.0
20.12.2021,-9.1
21.12.2021,-14.4
22.12.2021,-11.2
23.12.2021,-6.8
24.12.2021,-5.5
25.12.2021,-12.6
26.12.2021,-17.4
27.12.2021,-10.2
28.12.2021,-10.2
29.12.2021,-5.7
30.12.2021,-7.6
31.12.2021,-3.0
1.1.2022,-3.7
2.1.2022,-9.0
3.1.2022,-6.3
4.1.2022,-4.7
5.1.2022,0.8
6.1.2022,-3.0
7.1.2022,-11.2
8.1.2022,-11.1
9.1.2022,-5.1
10.1.2022,-6.5
11.1.2022,-13.1
12.1.2022,-13.4
13.1.2022,0.3
14.1.2022,0.9
15.1.2022,-0.2
16.1.2022,-2.7
17.1.2022,-0.5
18.1.2022,-5.9
19.1.2022,-0.1
20.1.2022,1.6
21.1.2022,-0.7
22.1.2022,-2.2
23.1.2022,-5.3
24.1.2022,-2.0
25.1.2022,-1.4
26.1.2022,-6.8
27.1.2022,-4.3
28.1.2022,-2.3
29.1.2022,-3.8
30.1.2022,-2.8
31.1.2022,-3.0
1.2.2022,-3.4
2.2.2022,-4.3
3.2.2022,-8.6
4.2.2022,-12.2
5.2.2022,-6.5
6.2.2022,-1.9
7.2.2022,1.1
8.2.2022,0.1
9.2.2022,-0.3
10.2.2022,1.2
11.2.2022,-0.5
12.2.2022,-2.5
13.2.2022,0.8
14.2.2022,1.4
15.2.2022,2.8
16.2.2022,2.8
17.2.2022,1.7
18.2.2022,0.9
19.2.2022,1.3
20.2.2022,-0.8
21.2.2022,0.2
22.2.2022,0.8
23.2.2022,-4.3
24.2.2022,-0.7
25.2.2022,1.8
26.2.2022,0.1
27.2.2022,-3.5
28.2.2022,-0.7
1.3.2022,0.5
2.3.2022,0.4
3.3.2022,0.1
4.3.2022,0.0
5.3.2022,-4.4
6.3.2022,-1.5
7.3.2022,-3.3
8.3.2022,-8.0
9.3.2022,-5.2
10.3.2022,-5.4
11.3.2022,-1.9
12.3.2022,0.4
13.3.2022,1.2
14.3.2022,-0.7
15.3.2022,2.1
16.3.2022,2.9
17.3.2022,4.0
18.3.2022,3.2
19.3.2022,1.9
20.3.2022,2.1
21.3.2022,3.3
22.3.2022,2.7
23.3.2022,2.2
24.3.2022,1.5
25.3.2022,4.4
26.3.2022,0.9
27.3.2022,-2.8
28.3.2022,-1.1
29.3.2022,-4.0
30.3.2022,-3.1
31.3.2022,-1.3
1.4.2022,-1.3
2.4.2022,-0.1
3.4.2022,-1.3
4.4.2022,2.1
5.4.2022,2.0
6.4.2022,-1.3
7.4.2022,1.3
8.4.2022,7.2
9.4.2022,5.1
10.4.2022,3.9
11.4.2022,5.3
12.4.2022,3.7
13.4.2022,4.0
14.4.2022,3.0
15.4.2022,4.1
16.4.2022,4.0
17.4.2022,3.9
18.4.2022,6.2
19.4.2022,8.6
20.4.2022,9.9
21.4.2022,9.3
22.4.2022,9.9
23.4.2022,7.3
24.4.2022,6.1
25.4.2022,5.7
26.4.2022,6.6
27.4.2022,2.2
28.4.2022,2.9
29.4.2022,3.8
30.4.2022,4.2
1.5.2022,6.6
2.5.2022,8.4
3.5.2022,7.1
4.5.2022,4.2
5.5.2022,7.3
6.5.2022,12.1
7.5.2022,13.5
8.5.2022,7.6
9.5.2022,6.8
10.5.2022,10.3
11.5.2022,13.4
12.5.2022,10.1
13.5.2022,9.2
14.5.2022,10.6
15.5.2022,9.0
16.5.2022,8.6
17.5.2022,7.2
18.5.2022,8.3
19.5.2022,9.7
20.5.2022,8.6
21.5.2022,9.5
22.5.2022,9.2
23.5.2022,12.2
24.5.2022,12.4
25.5.2022,12.5
26.5.2022,11.0
27.5.2022,11.0
28.5.2022,11.5
29.5.2022,12.3
30.5.2022,15.6
31.5.2022,15.7
1.6.2022,17.0
2.6.2022,17.1
3.6.2022,15.1
4.6.2022,13.7
5.6.2022,14.7
6.6.2022,14.8
7.6.2022,15.7
8.6.2022,17.6
9.6.2022,17.2
10.6.2022,17.5
11.6.2022,19.0
12.6.2022,18.5
13.6.2022,17.0
14.6.2022,15.6
15.6.2022,13.6
16.6.2022,15.7
17.6.2022,13.1
18.6.2022,14.8
19.6.2022,15.8
20.6.2022,14.6
21.6.2022,15.2
22.6.2022,16.4
23.6.2022,18.3
24.6.2022,20.2
25.6.2022,21.9
26.6.2022,24.2
27.6.2022,25.3
28.6.2022,23.7
29.6.2022,22.5
30.6.2022,22.8
1.7.2022,24.3
2.7.2022,26.8
3.7.2022,24.5
4.7.2022,23.0
5.7.2022,21.1
6.7.2022,19.7
7.7.2022,19.0
8.7.2022,18.7
9.7.2022,19.5
10.7.2022,18.5
11.7.2022,18.0
12.7.2022,21.2
13.7.2022,21.9
14.7.2022,19.4
15.7.2022,17.7
16.7.2022,16.2
17.7.2022,15.5
18.7.2022,15.5
19.7.2022,17.5
20.7.2022,18.4
21.7.2022,22.2
22.7.2022,23.1
23.7.2022,22.7
24.7.2022,19.6
25.7.2022,19.9
26.7.2022,21.9
27.7.2022,20.5
28.7.2022,18.5
29.7.2022,17.6
30.7.2022,17.5
31.7.2022,17.2
1.8.2022,16.8
2.8.2022,17.6
3.8.2022,19.6
4.8.2022,22.5
5.8.2022,24.5
6.8.2022,23.5
7.8.2022,17.9
8.8.2022,17.0
9.8.2022,17.1
10.8.2022,18.1
11.8.2022,20.3
12.8.2022,20.8
13.8.2022,20.4
14.8.2022,19.8
15.8.2022,22.8
16.8.2022,25.2
17.8.2022,25.7
18.8.2022,25.1
19.8.2022,25.8
20.8.2022,24.1
21.8.2022,20.1
22.8.2022,21.3
23.8.2022,21.7
24.8.2022,24.5
25.8.2022,20.8
26.8.2022,17.6
27.8.2022,19.8
28.8.2022,23.0
29.8.2022,20.4
30.8.2022,14.7
31.8.2022,10.1
1.9.2022,8.2
2.9.2022,9.4
3.9.2022,9.2
4.9.2022,9.2
5.9.2022,9.5
6.9.2022,9.9
7.9.2022,10.1
8.9.2022,8.4
9.9.2022,10.1
10.9.2022,10.7
11.9.2022,11.9
12.9.2022,12.2
13.9.2022,13.8
14.9.2022,12.5
15.9.2022,12.2
16.9.2022,12.3
17.9.2022,11.6
18.9.2022,11.9
19.9.2022,10.5
20.9.2022,11.6
21.9.2022,10.7
22.9.2022,10.2
23.9.2022,9.9
24.9.2022,9.8
25.9.2022,7.6
26.9.2022,10.3
27.9.2022,10.8
28.9.2022,8.2
29.9.2022,7.6
30.9.2022,9.5
1.10.2022,9.3
2.10.2022,7.2
3.10.2022,7.0
4.10.2022,8.7
5.10.2022,8.2
6.10.2022,11.7
7.10.2022,12.4
8.10.2022,12.4
9.10.2022,10.5
10.10.2022,9.1
11.10.2022,9.2
12.10.2022,8.9
13.10.2022,7.6
14.10.2022,9.3
15.10.2022,10.6
16.10.2022,10.3
17.10.2022,10.9
18.10.2022,8.8
19.10.2022,5.3
20.10.2022,4.7
21.10.2022,6.1
22.10.2022,7.1
23.10.2022,6.1
24.10.2022,3.6
25.10.2022,2.5
26.10.2022,6.0
27.10.2022,8.9
28.10.2022,9.9
29.10.2022,11.1
30.10.2022,5.5
31.10.2022,2.3
1.11.2022,5.4
2.11.2022,5.8
3.11.2022,3.9
4.11.2022,-0.1
5.11.2022,-1.9
6.11.2022,0.9
7.11.2022,6.1
8.11.2022,6.6
9.11.2022,7.7
10.11.2022,9.9
11.11.2022,9.5
12.11.2022,10.1
13.11.2022,7.3
14.11.2022,1.7
15.11.2022,1.4
16.11.2022,-0.5
17.11.2022,0.5
18.11.2022,-1.5
19.11.2022,-4.3
20.11.2022,-4.4
21.11.2022,-5.3
22.11.2022,-4.7
23.11.2022,-2.3
24.11.2022,-5.3
25.11.2022,-6.0
26.11.2022,-9.3
27.11.2022,-8.0
28.11.2022,-3.5
29.11.2022,-2.0
30.11.2022,-2.7
1.12.2022,-3.7
2.12.2022,-7.5
3.12.2022,-5.2
4.12.2022,-4.3
5.12.2022,-3.2
6.12.2022,-5.8
7.12.2022,-4.8
8.12.2022,-3.7
9.12.2022,-0.9
10.12.2022,-3.6
11.12.2022,-4.5
12.12.2022,-6.1
13.12.2022,-4.3
14.12.2022,-4.6
15.12.2022,-5.3
16.12.2022,-6.8
17.12.2022,-5.8
18.12.2022,-6.2
19.12.2022,-0.2
20.12.2022,-4.7
21.12.2022,-2.6
22.12.2022,2.9
23.12.2022,1.8
24.12.2022,-0.1
25.12.2022,-2.2
26.12.2022,-4.5
27.12.2022,-4.9
28.12.2022,-0.3
29.12.2022,-1.2
30.12.2022,-0.1
31.12.2022,3.1
